             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          33377613 snsm_itn1 ADP_res_ gschilla  R    4:20:55      1 mdc-1057-28-8
          33377614 snsm_itn1 ADP_res_ gschilla  R    4:20:55      1 mdc-1057-28-7
          33377615 snsm_itn1 ADP_res_ gschilla  R    4:20:55      1 mdc-1057-28-6
          33377616 snsm_itn1 ADP_res_ gschilla  R    4:20:55      1 mdc-1057-28-5
          33377617 snsm_itn1 ADP_res_ gschilla  R    4:20:55      1 mdc-1057-28-4
          33377618 snsm_itn1 ADP_res_ gschilla  R    4:20:55      1 mdc-1057-28-2
          33377619 snsm_itn1 ADP_res_ gschilla  R    4:20:55      1 mdc-1057-27-20
          33377620 snsm_itn1 ADP_res_ gschilla  R    4:20:55      1 mdc-1057-27-20
          33377621 snsm_itn1 ADP_res_ gschilla  R    4:20:55      1 mdc-1057-27-19
          33377622 snsm_itn1 ADP_res_ gschilla  R    4:20:55      1 mdc-1057-27-19
          33377623 snsm_itn1 ADP_res_ gschilla  R    4:20:55      1 mdc-1057-27-18
          33377846 snsm_itn1 CIFD_par      pra  R      48:54      1 mdc-1057-27-20
          33377845 snsm_itn1 CIFD_par      pra  R      49:35      1 mdc-1057-27-19
          33377844 snsm_itn1 CIFD_par      pra  R      49:58      1 mdc-1057-27-18
          33377867 snsm_itn1     AFMy    rohin  R      40:03      6 mdc-1057-27-[13,15-17],mdc-1057-28-[8-9]
          33377762 snsm_itn1 PlusUscf    rohin  R    2:38:41      6 mdc-1057-28-[1-2,4-7]
          33374455 snsm_itn1     AFMx    rohin  R   11:34:19      4 mdc-1057-27-[9-12]
          33374453 snsm_itn1      FMy    rohin  R   11:37:28      4 mdc-1057-27-[5-8]
          33363188 snsm_itn1 channel_ scariasf  R   21:22:46      3 mdc-1057-27-[2,4-5]
          33327003  tfawcett cleanup_ tfawcett PD       0:00      1 (PartitionDown)
          33313887  tfawcett cleanup_ tfawcett PD       0:00      1 (PartitionDown)
          33257776  tfawcett cleanup_ tfawcett PD       0:00      1 (PartitionDown)
          33240426  tfawcett cleanup_ tfawcett PD       0:00      1 (PartitionDown)
          33240174  tfawcett cleanup_ tfawcett PD       0:00      1 (PartitionDown)
          33193963  tfawcett cleanup_ tfawcett PD       0:00      1 (PartitionDown)
          33157966  tfawcett cleanup_ tfawcett PD       0:00      1 (PartitionDown)
          33146044  tfawcett cleanup_ tfawcett PD       0:00      1 (PartitionDown)
          33144107  tfawcett cleanup_ tfawcett PD       0:00      1 (PartitionDown)
          33143428  tfawcett cleanup_ tfawcett PD       0:00      1 (PartitionDown)
          32794278  tfawcett cleanup_ tfawcett PD       0:00      1 (PartitionDown)
          32793561  tfawcett cleanup_ tfawcett PD       0:00      1 (PartitionDown)
